pid	name	type	tag	phone	story
1010013100020031	Sisley	个护化妆	化妆品		sisley诞生于充满浪漫气息的法国，在1976年由法国修伯特．多纳诺伯爵创立，以当时欧洲最新的植物美容学为基础，成功地研创出来的植物性护肤品牌。在全球都享有盛誉，是护肤品中尊贵与优雅的经典代表。sisley所有产品均以植物萃取精华与植物香精油作为主要成分，配以独特配方研制而成，并坚持产品在上市前必须经过300名皮肤科医师的测试，包装上必须名符其实地被许可标示“经过敏与敏感测试”及出自法国原厂。
1010013100020065	BVLGARI	其他	null		意大利的宝格丽，是继法国卡地亚和美国蒂芙尼之后的世界第三大珠宝品牌。宝格丽在首饰生产中以色彩为设计精髓，独创性地用多种不同颜色的宝石进行搭配组合，再运用不同材质的底座，以凸显宝石的耀眼色彩。
1010013100040058	Adidas	体育	运动装		阿迪达斯（adidas）是德国运动用品制造商，阿迪达斯AG的成员公司。以其创办人阿道夫·达斯勒（Adolf Adi Dassler）命名，在1920年于接近纽伦堡的黑措根奥拉赫开始生产鞋类产品。1949年8月18日以adidas AG名字登记。
1010013100040059	Salad	服装	女装		Salad是Bauhaus旗下于2000年开发的时装品牌。能够在短短3年间迅速攻陷香港女装市场，除了因为品牌贴紧潮流趋势兼能够提供舒适上身的服饰外，最重要是Salad一直以敢作敢为、好玩前卫作为个性标签。
1010013100040056	GASTONE LUCIOLI	服装	女鞋		意大利高档时尚女鞋品牌GASTONE LUCIOLI 歌斯东尼，一个拥有意大利独特文化艺术风格的高档品牌，GASTONE LUCIOLI 歌斯东尼女鞋品牌将意大利古典艺术融入产品，突出时尚优雅的女性魅力。
1010013100040057	满记甜品	餐饮	null	010-60606567	香港满记甜品集团自一九九五年于香港西贡区设立第一间 『满记甜品』以后，由早期一间家庭式糖水店发展成现今的连锁式甜品店，深受本地顾客尤其香港年青新一代的爱戴，更获国内及外地旅客的推崇及赞赏。『满记甜品』已成为一个『甜品品牌』。其中，满记甜品以“之心甜品”和“芒果爱上椰”系列尤为突出。
1010013100040054	CAMENAE	个护化妆	化妆品		CAMENAE嘉媚乐自2003年面世以来，不断为消费者提供优质的精油产品，在精油护肤领域获得非凡的成绩，以品质赢得消费者的信赖和喜爱。嘉媚乐以“精油添加”为产品特色，是一个追求美丽，传播幸福的民族企业
1010013100040055	Top Gloria	服装	女装		TOP GLORIA，一款鞋类品牌，是汤普1979年始创于台湾，1995年以TOP GLORIA（汤普葛罗）品牌进军中国市场成都太平洋春熙店，从此开启中国高端女鞋品牌的里程碑。
1010013100040052	美宝莲	个护化妆	化妆品	?400-821-5878	Maybelline(美宝莲纽约)的名字是由他的妹妹的名字(Maybel)以及凡士林(Vaseline)的后半部分组成的。 美宝莲纽约于1917年成立之时，生产出了世界上第一支现代眼部化妆品：美宝莲纽约块状睫毛膏(Maybelline Cake Mascara)。 如今，美宝莲纽约已经成为了一个具有传奇色彩的全球化妆品先驱公司
1010013100040053	Organic touch	个护化妆	化妆品		欧甘妮（OrganicTouch）是专业从事个人身体护理的高品质品牌，主要经营面部及身体护理产品。欧甘妮秉承自然、清新、健康、环保、有机的理念，倾情生产出适合亚洲人肤质的天然护肤品。
1010013100040050	HR	个护化妆	null	400-821-0811	郝莲娜（上海）贸易有限公司，是法国郝莲娜品牌的大陆经销商，主要从事国际知名护肤品、香水、彩妆、美体内衣、美容仪器的代理和经销，是国内最先倡导女性整体美的概念和模式的专业化妆品公司。
1010013100040051	comico	服装	女装		高美高COMICO精选意大利、日本、英国等多个国家的顶级皮料，由意大利与东南亚著名设计师精心设计，经先进的生产工艺精制而成。
1010013100060032	Panasonic	电器	电子数码		松下电器多年来致力于研究先进技术，为中国消费者提供包括冰箱、电视机、数码相机、调理小家电、空气净化器在内的高品质电器产品。
1010013100060092	兄妹猫	服装	儿童装	021-63057774	上海“兄妹猫”儿童用品有限公司创建于1990年，是一家专业生产、经营童鞋的企业。企业经过十几年的不断创新与努力，已初具规模，成为上海童鞋业最先进的企业之一。兄妹猫童鞋选用天然牛、羊皮为主要原料，配以色泽协调的皮里，采用最新的胶粘工艺精制而成。线条明快、款式高雅，集时尚、休闲、舒适、童趣于一体，不断完善品牌形象与品牌规模，体现了全新的经营理念。
1010013100060033	Dyson	电器	家用电器	010-81028546	销全球45个国家。在创始人詹姆斯·戴森的领导下，戴森公司为吸尘器，洗衣机，自动吸尘器以及手持吸尘器设计并研发新技术。戴森公司于2006年进入中国，在南京建立生产基地，生产由数字电机驱动的干手机产品。2008年，戴森北京分公司成立。
1010013100060093	MOONSTAR	服装	儿童装	021-61431282	MoonStar创立1873年，至今已拥有130年多的历史。自创立以来, 一直牢牢占据日本童鞋市场第一品牌的宝座，具有极高的品牌知名度。MoonStar始终贯彻“以人为本”和“顾客至上”的经营理念。专卖店遍布全球，很受人们的喜爱，儿童们都非常爱穿。
1010013100060030	Luminaec	其他	餐具		Luminarc（乐美雅）是弓箭旗下的一个纯玻璃制品品牌。Luminarc（乐美雅）是目前国内质量最好最贵的玻璃器皿品牌之一，与集团公司法国弓箭一样，乐美雅品牌至今已有180多年的历史，在全世界范围内享受美誉。Luminarc（乐美雅）品牌传承百年玻璃制作工艺，融合高科技尖端技术，将艺术与时尚容入设计，呈现超越产品的生活艺术。
1010013100030024	米茜尔	服装	女装	58697185-828	意大利米茜尔服饰（集团）有限公司位于北京CBD商圈——建外SOHO，毗邻国贸中心。公司拥有独立的产品研发中心，一流的设计师团队，先进的生产流水线，优秀的市场营销队伍，快速稳定的信息物流反应系统，现已发展为一家多品牌运作，国内最为优秀的现代化企业之一。
1010013100030025	伊蒂雅	服装	女装	010-61590218	伊蒂雅追求个性和时尚但不张扬，达到轻松浪漫并讲究情调，线条流畅、大气，创造高雅脱俗的品位；遵循一切源于生活的设计理念，倡导衣着感官与精神追求相吻合，融合了现代时尚与率真的个性，使生活与艺术得以完美展现…… 
1010013100030026	Lime Flare	服装	女装		莱茵福莱尔（LIME  FLARE）寓意着莱檬树上的累累硕果。莱茵福莱尔（LIME  FLARE）如如莱檬树的袭人香气，呈现在您的衣橱，既能彰显出您的高贵典雅，又不失个性和时尚。同时莱茵福莱尔（LIME  FLARE）在舒适、妩媚中展现您温柔端庄的时尚淑女形象。
1010013100030027	GANT	服装	女装	021-62815990	1949年，GANT品牌在美国纽约诞生,纽约麦迪逊广场出现了第一家GANT专卖店，GANT所代表的成熟,积极,健康的服装文化,迅速被美国人所接纳和追捧，专卖店也逐渐遍布了美国。GANT逐步成为引领美国时尚的品牌。
1010013100030020	Jiggie Studio	服装	女装	010-84917172	jiggle studio中Jiggle的意思是‘轻轻摆动’，2003年于北京创立，经过8年的潜心经营，已在标新立异的时尚行业中引领潮流风尚。基格女装吸取欧美时尚元素，秉承经典、优雅的服饰理念，巧妙地运用色彩的搭配和自然的剪裁，展现女性简约温婉的特质。
1010013100030021	歌力思	服装	女装		作为中国高级时装知名品牌，ELLASSAY（歌力思）一直以打造国际一线女装品牌为目标。歌力思的服装拥有纤秀的轮廓造型，考究的细部处理，柔和的色彩搭配和特殊的进口面料，永恒演绎着现代都市女性典雅含蓄、温柔婉约的独特个性。
1010013100030022	奥菲欧	服装	女装		
1010013100030023	KORADIOR	服装	女装		Koradior（珂莱蒂尔）是一个致力于年青时尚，优雅浪漫的服饰风格的服装品牌。Koradior认为年青的真实意义，无关乎年龄，而在于心态；时尚不只是一种美感，也是一种积极乐观的生活态度。
1010013100060036	BRAUN	电器	家用电器		布劳恩1850年6月6日出生于德国的富尔达（Fulda）。他在此地接受了地方普通中学的教育。他曾在马尔堡大学、柏林大学学习过，1872年毕业，他的毕业论文是关于弹性弦的振动。后来他在维尔茨堡大学担任过昆开（Quincke）教授的助手，1874年受聘到莱比锡的圣托马斯中学任教。两年后他受聘为马尔堡大学的理论物理学编外教授，1880年又被聘请到斯特拉斯堡大学担任同样的职务。1883年布劳恩成了卡尔斯鲁厄（Karlsruhe）工业大学的物理学教授，并于1885年受聘到杜宾根大学任教。他到这里的任务之一是建立一所新的物理研究所。他没有接受莱比锡大学的邀请去继承魏德曼的职务，而是在10年后于1895年又返回斯特拉斯堡担任物理研究所主任。
1010013100030028	雅莹	服装	null	010-62696248	EP雅莹隶属于华之毅时尚集团，2015年意大利米兰世博会中国馆全球合作伙伴 ,以亲民奢侈的品牌定位、精湛工艺和艺术合作成为中国时装的领导品牌。2014秋冬，EP雅莹携手跨界艺术家Simon.Ma、国际超模秦舒培与顶级视觉艺术家陈漫推出跨界艺术大片。
1010013100030029	COSTA COFFEE	餐饮	咖啡厅	1062562385	1971年，在伦敦Lambeth，Costa兄弟Bruno和Sergio创立了他们著名的咖啡豆烘焙工场，将传统的意式烘焙法加以缓慢处理，制作出令人兴奋的咖啡，供应本地餐饮机构与意式咖啡专营店。人们对这种咖啡钟爱有加，终于在1978年，第一家Costa espresso bar在伦敦Vauxhall Bridge Road宣告诞生。时至今日，我们仍沿用这一经典的缓慢烘焙工艺，并传承兄弟俩将Arabica咖啡豆与Robusta咖啡豆按6:1混合的方法，制作出绝妙的咖啡，供应全球1000多家意式咖啡吧。
1010013100060037	kenwood	其他			英国凯伍德KENWOOD-其产品涉及多个系列：全能厨师机系列、多功能食物料理系列、早餐系列、烹调系列，产品全球同步上市；
1010013100060043	VANS	服装	男装		Vans（范斯）是1966年诞生于美国南加州的原创极限运动潮牌。以极限运动起家，包括滑板、冲浪、BMX、滑雪等。并以滑板运动为根，从生活方式、艺术、音乐和街头时尚文化等注入Vans美学，形成别具个性的青年文化标志，成为年轻极限运动爱好者和潮流人士认同欢迎的世界性品牌！
1010013100060034	BRITA	电器	家用电器		1966年，Mr. Heinz Hankammer心中产生了一个理念，就是用最简单的方法来净化自来水，并制造出一种滤水器能过滤出完全无污染成分过滤水
1010013100060042	Nike	体育	运动装	010-82148587	NIKE是全球著名的体育用品品牌，英文原意指希腊胜利女神，中文译为耐克。
1010013100060098	金利来	服装			金利来品牌起源于中国香港，由著名的爱国、慈善大使曾宪梓博士创立，金利来（中国）有限公司创立于1990年，公司旗下拥有：金利来正装暨商务休闲和金利来时尚休闲两大品牌
1010013100060035	飞利浦	电器	家用电器	4008800008	
1010013100060041	adidas	体育	null		阿迪达斯（adidas）是德国运动用品制造商，阿迪达斯AG的成员公司。以其创办人阿道夫·达斯勒（Adolf Adi Dassler）命名，在1920年于接近纽伦堡的黑措根奥拉赫开始生产鞋类产品。1949年8月18日以adidas AG名字登记。阿迪达斯原本由两兄弟共同开设，在分道扬镳后，阿道夫的哥哥鲁道夫·达斯勒 （Rudolf Dassler）开设了运动品牌puma。其经典广告语：“没有不可能”（Impossible is nothing）。2011年3月，斥资1.6亿欧元启用全新口号——adidas is all in（全倾全力）。
1010013100060099	鄂尔多斯	服装			鄂尔多斯[1] 羊绒产业是鄂尔多斯集团的事业基础和品牌支柱。三十年来，集团始终以“立民族志气，创世界名牌”为己任，孜孜追求“鄂尔多斯温暖全世界”的远大理想，现已发展成为当今世界产销规模最大、产业体系最为完善、营销网络最为成熟、技术装备最为先进的行业领军企业
1010013100060040	JVC	电器	家用电器		日本胜利公司（日本ビクター株式会社，Victor Company of Japan, Limited），公司英文简称为JVC；在中国大陆、台湾也可适用正式译名杰伟世；香港曾译作星牌，但于1990年代开始已经甚少人用这个译名。JVC是一间日本消费性与专业电子企业，总部设在日本横滨，成立于1927年。该公司最为人熟悉就是展示日本第一台电视机及发明了VHS系统
1010013100050008	Van Lathem	服装	鞋		梵仑斯品牌源自法国，2005年在中国大陆地区进行推广。品牌有着悠久历史和文化。
1010013100050009	GORNIA	服装	男装		基于长期的市场考察和评估，把握中国男装市场对高端成衣品牌的旺盛需求，高档男装品牌GORNIA于2002年正式登陆中国市场。
1010013100050004	V.E.DELURE	服装	鞋		法文 V.E. DELURE （迪莱）的意思是「卓越不凡的你」（V.E. 是 Vou etes 的简写，意思是 「你」 ），体验了本集团目标顾客的形象及成就，这生活富裕的成功男士不单事业有成，而且关爱别人
1010013100050005	SATCHI	服装	鞋		沙驰登陆中国大陆市场，以其卓越品质迅速扩展，于全国100多家顶级商场开设品牌专柜；于2012年沙驰登录淘宝网开启官方旗舰店《品尚皮具直销店》；为各界成功男式带来欧洲经典着装和箱包的新体验。
1010013100050006	s.t.dupont	服装	鞋	010-82148250	【S.T.Dupont】法国名牌s.t.dupont都彭被香港迪生集团收购。早在1930年，法国都彭精品已成为世界各地显赫人士钟爱的用品，包括欧洲各国的王室贵族、工商巨子等都对都彭的产品爱不释手。在1947年，都彭更特别为英女皇伊利莎白及爱丁堡公爵之婚礼制造一套旅行手提袋。业务遍布全球。随着市场的发展，S.T.Dupont逐渐扩大其豪华产品系列，相继推出男士服装及配饰、皮具、打火机、书写工具、男鞋、腕表、雪茄配件、眼镜、香水等。
1010013100050007	NEUBERLTN	服装	鞋		
1010013100050000	C31 ROTC	服装	鞋		C31 ROTC于上世纪初期由英国建筑师Howard Compton创建，从七十年代起陆续在英国、美国、德国、西班牙、比利时等国家开设专门店。男装主要表现成熟男性内心狂野和桀骜不驯的个性，打造现代都市生活中的另类优雅
1010013100050001	马亚诺	服装	鞋		
1010013100050002	Frienti	服装	鞋	021-54321881	
1010013100050003	HERRFURST	服装	鞋		
1010013100060039	BOSE	电器	电子数码	010-62160816	BOSE是全美国最大的扬声器厂家之一，总部坐落在美国麻省，单是从事研究开发的工程师就有几百人，是一家全资独立公司。
1010013100060045	Crocs	服装	男装		crocs（卡骆驰）是一家总部位于美国科罗拉多州的鞋履设计、生产及零售商，以crocs品牌于市场上推出男装、女装及童装的舒适鞋款。创立于2002年，crocs鞋子最初的产品市场定位是帆船运动和户外运动者，后来因为它穿着舒适而受到不同消费者的青睐
1010013100060009	ESTEEM	服装	鞋	010-82148552	Esteem即依斯汀，它是尊重、尊敬的意思，是依斯汀品牌的经营核心。它代表Esteem尊重、理解消费者的需求，以打造高品质、高性价比的皮鞋产品为己任，并希望以此来赢得消费者的尊重与青睐
1010013100060008	SHERIPAN	服装	家纺		
1010013100060007	ZUCCHI	其他	家纺		
1010013100060006	MINE	其他	家纺		
1010013100060005	馨亭	其他	家纺		馨亭（La Maison de Domitille）是法国著名的Fremaux Delorme S.A.（福莱蒙德罗姆集团）旗下的一个知名家居品牌。浪漫、温馨、时尚是馨亭（La Maison de Domitille）对家居生活的诠释，其设计师均来自于法国顶级专业设计团队，设计师们捕捉美好生活的每一个瞬间灵感，融合东方醇厚的文化艺术，创造出绽放温馨生活品位的馨亭（La Maison de Domitille）。
1010013100060004	ESPRIT	服装	女装		ESPRIT其“在乎心态而非年龄”的设计理念已传遍全球。ESPRIT 代表着一个充满干劲、推崇合作、追求理想，以及对生命积极乐观的时尚生活品牌；ESPRIT为顾客塑造的，绝非仅仅是挂在身上的衣饰，更是一种生活方式，一对生活的态度，一种对自我的感觉。
1010013100060003	CONVERSE	体育	运动装		1908年由美国摩尔·匡威于麻省春田市创办了篮球鞋的专业制造厂，Converse ALL STAR于是就诞生了。1917年正式推出了ALL STAR帆布鞋，以其狂放不羁的设计，风靡全球一炮而红。1923年以具有运动天赋和口才的篮球明星CHUCK TAYLOR的亲笔签名成为著名商标。集复古、流行、环保于一身的ALL STAR帆布鞋，是美国文化的精神象征，以其随心所欲，自由自在没有约束的穿着形态，更成为追求自我时尚的青年人的忠实排挡。在中国市场，现在上市的有ALL STAR CHUCK TAYLOR （全明星经典帆布鞋）、JACK PURCELL（开口笑）、CONS（滑板运动鞋）三大系列。
1010013100060002	NEO	体育	运动装		
1010013100060001	李宁	体育	运动装	400-610-0011	李宁公司成立于1990年，经过二十年的探索，已逐步成为代表中国的、国际领先的运动品牌公司。李宁公司采取多品牌业务发展策略，除自有核心李宁品牌（LI-NING），还拥有乐途品牌（LOTTO）、艾高品牌（AIGLE）、心动品牌（Z-DO）。此外，李宁公司控股上海红双喜、全资收购凯胜体育
1010013100060000	Nike	体育	null	010-82148587	NIKE是全球著名的体育用品品牌，英文原意指希腊胜利女神，中文译为耐克。
1010013100040042	华歌尔	服装	内衣	010-82148370	Wacoal，日本内衣著名品牌，是一家以内衣为主的成衣制造商。Wacoal于1949年在日本成立后发展至今，已成为生产女装全线产品的翘楚；此外，CWX运动装、童装、男装、长者服装亦不断拓展。旗下包括女内衣，睡衣，家居服，孕妇装，哺乳服，儿童服装，少女家居服等数个系列。
1010013100030070	Feraud	服装	女装		
1010013100020054	H2O+	个护化妆	化妆品		h2o+水芝澳于1989在美国芝加哥创立，始创人为仙蒂·梅其，同年在著名的密芝根大道开设首间专门店。h2o+水芝澳是著名化妆品牌，h2o+的创始人仙蒂梅发挥"以水为本”的革新理念，利用专利海洋矿物合成物，创造性地研制出了源于水的h2o+水芝澳护肤品。
1010013100020055	瑞恩	其他	珠宝	400-700-7099	“瑞恩”钻饰以经营镶嵌类饰品为主。“瑞恩”正式进入全国珠宝首饰零售领域是在1994年,经过近几年的稳固发展,已经在北京的十余家大型商场中设立专柜、专店
1010013100020056	戴梦得	其他	珠宝		戴梦得珠宝是中国珠宝质量唯一上榜品牌，是中国宝玉石协会颁发的中国珠宝质量驰名品牌，它的珠宝玉石全部由中国宝玉石协会提供质量鉴定证书，它的纯铂金全部由国家有色金属院及国家首饰质量监督检验中心提供质量检测合格证签，是中国民族珠宝第一大品牌。
1010013100020057	周大生	其他	珠宝	010-62166778	根植于中国，绽放在华夏复兴的春天，周大生自上世纪90年代以来，在中国大力开展钻石首饰及其他珠宝饰 品零售连锁业务，开始了品牌传奇的新篇章。
1010013100020050	origins	个护化妆	化妆品	010-62129152	根植于中国，绽放在华夏复兴的春天，周大生自上世纪90年代以来，在中国大力开展钻石首饰及其他珠宝饰 品零售连锁业务，开始了品牌传奇的新篇章。
1010013100020051	JurLique	个护化妆	化妆品		JURLIQUE是08年新包装的最新中文命名。原名茱丽（中国大陆注册名）、茱丽寇儿（中国台湾、香港、新加坡等地区命名）、茱莉蔻儿、茱莉
1010013100020052	LANEIGE	个护化妆	化妆品	010-62150856	韩国女性对美的向往以及对美好生活的追求，并没有因为战争和贫穷的生活重担而消失，相反更加强烈了。眼光锐利的徐大根先生（爱茉莉太平洋集团创始人），从战场上归来。细心的他对韩国女性们这种积极向上、向往美好生活的热情所感动，悉心钻研，从零开始，购买原料拿回自己家里配制，经过不断的探索和努力，终于开发出韩国的第一瓶雪花霜
1010013100020053	KOSE	个护化妆	化妆品		初期以代理其他美容化妆品牌为主，1948年开始发展自己的品牌，由创办者小林孝三郎结合化学与药学人士于1946年创立
1010013100020058	LARWINER	其他	珠宝		
1010013100020059	BLLYN	服装	null		
1010013100030008	Rebecca	服装	女装		
1010013100030009	ANNA SUI	个护化妆	化妆品	010-82148624	
1010013100030002	邢氏	服装	女装	010-62122327	
1010013100030003	LIANG NUO	服装	女装		
1010013100030000	Marisfrolg	服装	女装		深圳玛丝菲尔时装有限公司创建于1993年，是恩情投资发展有限公司旗下负责时装品牌营运的管理机构，公司管理的品牌有女装Marisfrolg玛丝菲尔、MASFER SU、AUM及男装MARISFROLG，而公司也于2014年2月成功收购意大利著名时装品牌Krizia。
1010013100030001	LANCY FROM25	服装	女装		
1010013100030006	F.L≡dy	服装	女装	010-82148263	
1010013100030007	AINTLUCK	服装	女装		
1010013100030004	应大	服装	女装		
1010013100030005	landi	服装	女装		
1010013100060075	海辰贝贝	儿童母婴	null		
1010013100060119	鹿王	服装			
1010013100060019	Rapido	体育	运动装		
1010013100040034	MARJA KURKI	服装	女装		
1010013100010008	Leonidas	餐饮	零食		
1010013100040036	粉红玛琍	服装	女装	010-82148379	
1010013100040037	格格	服装	女装	010-62118062	
1010013100040030	LTAM Mark	服装	女装		
1010013100040031	FRAAS	服装	女装	15712893836	
1010013100040032	ALA	服装	女装		
1010013100020046	Kiehl's	个护化妆	化妆品	010-62156821	
1010013100060047	贝纳通	服装	儿童装		
1010013100040038	ATSUGI	服装	女装		
1010013100040039	LA CLOVER	服装	女装		传说森林的深处有三叶草，只要找到她，你就可以找到幸福。我笑了，很疑惑的问：“她叫三叶草？可是她有四片叶？”“三叶草是多年生或一年生的草本植物，分布于全世界温带地区，大部分都是三片叶子，只有极少数长出四片叶子，这样的几率是十万分之一。”
1010013100050097	爱慕先生	服装	男装		
1010013100050096	雅戈尔	服装	男装		雅戈尔集团（600177）创建于1979年，经过近30年的发展，逐步确立了以品牌服装、地产开发、股权投资三大产业为主体，多元并进、专业化发展的经营格局，成为拥有员工5万余人的大型跨国集团公司，旗下的雅戈尔集团股份有限公司为上市公司。2011年07月14日，一份报告披露了上市公司雅戈尔长期污染水源的情况。
1010013100050095	BODY.WILD	服装	男装		
1010013100050094	V&G	个护化妆	化妆品		
1010013100050093	圣伽步	服装	鞋	010-82148276	SKAP，龙浩旗下著名品牌，现已拥有男装、女装、精品等系列，产品涵盖男女皮鞋皮具、商务艺术精品等，销售网络已覆盖全国150个城市。
1010013100050092	策乐	服装	男装		经过多年探索与积淀，CELE已经在中国一线城市的核心商圈与世界大牌分庭抗礼，成为我国休闲鞋业的领军者，享誉行业。
1010013100050091	宾度	服装	男装		
1010013100050090	沙驰	服装	男装		
1010013100010012	集品堂	其他	保健品		成立于1999年的集品堂食品有限公司，是一家专业经营高档滋补食材的运营商。秉承“营养源自天然”的健康滋补理念和“料选精品，天然纯正”的运营标准，向消费者推广正统的食补文化并提供优质的滋补食材。
1010013100060028	象印	儿童母婴	null		象印公司自成立，以采用真空绝热技术而开发出保温瓶以来，不断创新，续而开发出电饭煲、电热水瓶、电火锅、电烤箱、咖啡壶、保温便当盒、真空保温瓶等系列生活小家电，还不断开发用于改善生活环境的空气净化器、加湿器等产品。
1010013100050099	巧手改衣	其他	服装服务		
1010013100050098	TITAN	服装	箱包		
1010013100030050	鄂尔多斯	服装	null		
1010013100020078	Nina Ricci	个护化妆	化妆品		
1010013100020079	Burberry	其他	奢侈品		
1010013100020072	UGG	服装	鞋		
1010013100020073	RIMOWA	服装	箱包	010-62196675	
1010013100020070	雅阁诗丹	服装	null		成立於1851年，来自英国伦敦的雅格狮丹是时装界永恒经典的象征。凭借优雅、时尚的服装设计及伟大的技术发明，雅格狮丹扬名国际，在时装界掀起革命。雅格狮丹以经典、优雅不凡的英伦风格、精致的工艺及优良的信誉而驰名世界。现为YGM贸易有限公司旗下品牌。
1010013100020071	Autason	服装	男装		
1010013100020076	PRADA	服装	女装		
1010013100020077	Versace	个护化妆	null		来自意大利知名的奢侈品牌范思哲（Versace）创造了一个时尚帝国，代表着一个品牌家族，范思哲的时尚产品渗透了生活的每个领域，其鲜明的设计风格，独特的美感，极强的先锋艺术表征让它风靡全球。它的设计风格鲜明，是独特的美感极强的先锋艺术的象征。其中最魅力独具的是那些展示充满文艺复兴时期特色的华丽的具有丰富想象力的女装款式，它们性感漂亮，女性味十足，色彩鲜艳，既有歌剧式的超平现实的华丽，又能充分考虑穿着舒适性及恰当地显示体型。范思哲还经营香水、眼镜、领带、皮件、包袋、瓷器、玻璃器皿、丝巾、羽绒制品、家具产品等。
1010013100020074	新秀丽	服装	箱包	010-82148660	
1010013100010014	新快	餐饮	零食		
1010013100050022	欧洲胡同	其他			
1010013100050023	天王表	其他	钟表		
1010013100050020	Zippo	其他	生活用品	010-82148480	
1010013100050021	PARKER	其他	钢笔	010-82148480	
1010013100050026	伯爵博朗	服装	男装		
1010013100050027	TREYFUS	服装	男装		
1010013100050024	discovery	服装	男装		
1010013100050025	卡尔蒂尼	服装	男装		
1010013100060058	ELAND KIDS	服装	儿童装		
1010013100060059	Paw in Paw	服装	儿童装		
1010013100050028	PIDEBO	服装	男装		
1010013100050029	MARK.BOSE	服装	男装		
1010013100060115	BABYROOM	儿童母婴	母婴用品		
1010013100060114	儿童套房	儿童母婴	儿童用品		
