ID	店名	一级标签	二级标签	电话	描述
1010011700020029	Spring field	服装	女装		SPRINGFIELD是欧洲快时尚品牌服饰，1988年创建于欧洲西班牙，为年轻人提供高品质的品牌服饰。SPRINGFIELD品类丰富，涉及男装、女装、配饰等一系列产品。SPRINGFIELD品牌的服装和配饰设计时尚、简约、休闲。
1010011700020030	汤美希菲格	服装	女装		TOMMY　HILFIGER是美国时装界一统群雄的品牌，个性而不张扬，简单却不平凡，美国好莱屋每年从TOMMY　HILFIGER公司团购至少400万美金的衣服作为演员拍电影时穿，可见TOMMY　HILFIGER的地位如此非凡，TOMMY　HILFIGER曾经一度打如欧洲皇室，是年轻贵族的酷爱品牌！简洁的TOMMY带来的却是无限的品位和内涵！
1010011700020031	levis	服装	男装		Levi's（李维斯）是来自美国西部最闻名的名字之一。1853年犹太青年商人Levi Strauss（李维·斯特劳斯）为处理积压的帆布试着做了一批低腰、直筒、臀围紧小的裤子，卖给旧金山的淘金工人。由于这种裤子比棉布裤更结实耐磨而大受欢迎。于是，李维索性开了一家专门生产帆布工装裤的公司，并以自己的名字“Levi's”作为品牌，Levi's（李维斯）的神话也由此展开。
1010011700020032	中国黄金	其他	珠宝工艺品		中国黄金集团公司（以下简称中国黄金）是我国黄金行业中唯一一家中央企业。
1010011700020033	周大福	其他	珠宝工艺品	(010)60603574	周大福集团是郑裕彤博士及其家族拥有的一个实力雄厚的私人商业集团。集团总资产值超过 50 亿美元，所经营的业务遍布全世界，合共雇用员工约共 8 万人。集团业务主要由两间公司经营。周大福珠宝金行有限公司在香港及国内的珠宝首饰行业里，每年销售额占市场第一位。
1010011700020034	Mademoiselle	服装	女装		
1010011700020035	I DO	其他	珠宝工艺品		自2006年来，定义为用珍惜的，为珍惜的I Do婚戒品牌，以无可挑剔的产品品质、近似苛求的工艺作为自我要求，正以引导珠宝潮流的设计，向世界呈现最美丽的婚戒饰品，目前已赢得了加盟商与奢侈品市场的广泛认同。
1010011700020036	TISSOT	其他	钟表		对于天梭而言，“时间，随你掌控”不仅仅是一句广告词。它传递了天梭品牌的DNA ，天梭一直致力将前沿科技与时尚设计在钟表制作中完美融合。自1853年起，天梭便一直立足传统进行创新，现已成长为全球销量第一的瑞士传统制表品牌，属于瑞士中档手表之一。
1010011700020037	Aimer	服装	女装		北京爱慕有限公司是专业从事品牌内衣设计、生产和营销的现代化企业，总部位于北京望京高新技术产业开发区爱慕大厦，拥有员工近2000人。
1010011700020038	Ochirly	服装	女装		欧时力（香港）集团有限公司，是意大利欧时力OCHIRLY品牌在亚太地区全权运营机构（亚太地区总部），负责欧时力OCHIRLY在亚太地区的品牌运作业务
1010011700020039	GAP	服装	男装	010-82834688	GAP（盖璞）是美国最大的服装公司之一。1969年创建时，只有屈指可数的几名员工。而现在，它是拥有五个品牌（GAP、Banana Republic、Old Navy、Piperlime、Athleta )、3200多家连锁店、年营业额超过130亿美元、员工16.5万人的跨国公司。在说McFashion的时候，很难回避GAP。这个一度在全世界风靡一时的平价时装品牌，当年与很多明星联系在一起，比如莎朗·斯通穿着它去参加奥斯卡颁奖晚会；而另外一个让该品牌如此出名的竟然是莱温斯基、那件著名的蓝裙子，也是GAP的。
1010011700020040	H&M	服装	女装	010-62740081	H&M于1947年由Erling Persson在瑞典创立。如今，H&M在全世界1500 多个专卖店销售服装、配饰与化妆品。位于瑞典市Stora Gatan大街的老H&M店是世界上第一家H&M专卖店。H&M品牌名是由“Hennes” （瑞典语中“她”的意思） 女装与“Mauritz”男装品牌合并，各取第一个字母而成“H&M”。
1010011700020041	太平洋咖啡	餐饮	咖啡厅	010-82815212	太平洋咖啡是香港及澳门一个连锁美式咖啡店品牌，在香港是最大的咖啡连锁店之一。
1010011700020042	paul frank	服装	儿童装		Paul Frank（大嘴猴）是和Calvin Klein齐名的国际知名品牌。它以色彩缤纷、年轻、可爱、时尚感吸引无数狂热粉丝，成为一个全球化的流行潮牌，大嘴猴“Julius”的卡通造型已出现在服饰、鞋、童鞋、内衣、泳装、睡衣、家俱、腕表、太阳镜、童装、儿童卡通书和儿童自行车等各种系列产品上。
1010011700020043	promod	服装	女装		现在PROMOD已成为法国最大的服装、服饰供应商，在全球拥有900家专卖店。在PROMOD的设计中完美展现了女性优雅浪漫的高贵气质。将设计灵感和女性的穿衣需求完美结合是PROMOD品牌的精髓。配合PROMOD这种设计理念创造的各类饰品与PROMOD服装完美搭配，成为每一季流行时尚的经典。 产地遍布世界各地，生产成衣，所以在国内的服装均为全进口服饰。
1010011700020044	maxfactor	其他	化妆品		诞生于1909年的彩妆品牌Max Factor蜜丝佛陀，拥有最纯正的好莱坞血统，世界上任何一个化妆品牌都没有Max Factor蜜丝佛陀这样丰富和辉煌的历史，为一代又一代的好莱坞明星打造传奇妆容。从玛丽莲·梦露、奥黛丽·赫本、伊丽莎白·泰勒到茱莉娅·罗伯茨、麦当娜、芮妮·齐薇格，都是Max Factor蜜丝佛陀的魅力演绎者。
1010011700020045	bovrjois	其他	化妆品		是法国巴黎的世界级的彩妆品牌，创立於1863年，拥有超越一个世纪的历史。其清新包装，配合如糖果般的迷人色调，赢得不少少女性的欢心，成为巴黎少数屹立至今的老字号品牌，Bourjois的彩妆产品经常带动彩妆潮流。
1010011700020046	OFFSUN	体育	体育用品		OFFSUN---专业健体鞋品牌！其产品主要功能是通过鞋底拱桥型的独特设计，使人体在站立或行走过程中产生负跟效应，从而修正人体脊柱及重心，达到调节站姿，改善步姿，高效缓震，步姿轻盈之效果，是户外徒步鞋的全新品类，也是从事低海拔户外活动最舒适的选择。
1010011700020047	母婴室				
1010011700020048	converse	体育	体育用品		1908年由美国摩尔·匡威于麻省春田市创办了篮球鞋的专业制造厂，Converse ALL STAR于是就诞生了。1917年正式推出了ALL STAR帆布鞋，以其狂放不羁的设计，风靡全球一炮而红。1923年以具有运动天赋和口才的篮球明星CHUCK TAYLOR的亲笔签名成为著名商标。集复古、流行、环保于一身的ALL STAR帆布鞋，是美国文化的精神象征，以其随心所欲，自由自在没有约束的穿着形态，更成为追求自我时尚的青年人的忠实排挡。在中国市场，现在上市的有ALL STAR CHUCK TAYLOR （全明星经典帆布鞋）、JACK PURCELL（开口笑）、CONS（滑板运动鞋）三大系列。
1010011700020049	长天户外	体育	体育用品	(010)82816731	
1010011700020050	THE NORTH FACE	体育	体育用品		乐斯菲斯，户外服装品牌。2014年3月10日，在山东省消费者协会公布的旅游鞋比较试验报告中，乐斯菲斯品牌旅游鞋样品部分检查项目不符合国家标准。
1010011700020051	hotwind	服装	女装	010-82816435	Hotwind热风于1996年始创于时尚之都—上海，至今已发展成为国内知名的集设计、精选和销售于一体，商品涵盖鞋品、服装、包、配饰及部分时尚生活用品的精选时尚零售连锁品牌。
1010011700020052	AJIDOU	其他	化妆品		
1010011700020053	dragon star				
1010011700020054	华润置地展台				
1010011700020055	新宇亨得利	其他	钟表		亨得利控股有限公司于2005年9月26日起在香港联合交易所主板挂牌上市( 股票编码： 3389 )。港股市值超200亿。亨得利致力于以下四个领域的发展：中高档进口手表的零售、批发、客户服务以及配套业务。2008年全年营业额约55亿人民币。集团董事长是张瑜平先生。
1010011700020056	mind bridge	服装	女装		Mind Bridge是韩国百家好（Basic House）公司旗下休闲品牌，分为男装和女装，品牌意味着协调现实与理想、人生与追求、人与人之间心灵的连接，体现自然和舒适的服装特点，给人以清淡和柔和的感觉，充分体现基本时尚的设计，在工作和生活当中，同时可以体现自己的风格。
1010011700020057	哈根达斯	餐饮	冷饮	010-82834890	哈根达斯（H?agen-Dazs）原为美国冰激凌品牌，1921年由鲁本·马特斯(Reuben Mattus)研制成功，并于1962在美国纽约布朗克斯命名并上市。
1010011700020058	SKINFOOD	其他	化妆品		
1010011700030000	进巍美甲	其他	化妆品	18611926625	
1010011700030001	港汇优优				
1010011700030002	色非	服装	女装		色非鞋业（香港）有限公司色非SOFIT 是快时尚女鞋品牌的启蒙者，其核心理念为“年轻 时尚 快速”，使都市消费者以“色非”为潮流风向标，“色非”让都市女性姿态不再一成不变，呈现出各样的时尚气息。她可以有浪漫伊人的虞美人之美，更可以做个眼光独到的时尚拥揼，布起步落间，弥漫生活的态度，敏锐的时尚眼光，全新的经营理念，卓越的市场优势，与内部高效的运转体系，成就了“色非”的今天，明天的“色非”将成为一个更为庞大的时尚王国。 色非公司发展六年，已进驻全国各大商场、购物中心，战略合作伙伴：万达广场、凯德广场、来福士、万象城、欧尚购物中心、凯丹商业、香港新世界。
1010011700030003	时尚殿堂美发沙龙	其他	化妆品	010-82815781	
1010011700030004	欧迪芬	服装	女装		欧迪芬国际集团1980年成立于台湾，是一家专业生产女性内衣及经营欧迪芬品牌的公司十多年来以其深厚的经营经验、坚强的生产能力，以及前卫的设计风格，将产品成功推进法国、美国、日本等国际内衣市场。
1010011700030005	福奈特	服装	女装		福奈特座右铭：你每天为满足顾客的愿望做事，一步一个台阶的往前走，慢慢地，你就会发现，你已与别人拉开了距离，你已经赢得了顾客 ——务 实
1010011700030006	avvn	服装	女装		
1010011700030007	D'ZZIT	服装	女装		d'zzit是DAZZLE的姐妹品牌，继成功打造耀眼夺目的DAZZLE与DIAMOND DAZZLE之后，地素时尚股份有限公司旗下又一个新锐的潮流时尚品牌——d'zzit。d'zzit来自欧陆设计大国荷兰，品牌设计师凭其跳跃的美学创意，打造出多样的时髦单品。
1010011700030008	Lowrys Farm	服装	女装		
1010011700030009	AMASS	服装	女装		
1010011700030010	CLself	其他	奢侈品		
1010011700030011	ESPRIT	服装	女装		ESPRIT其“在乎心态而非年龄”的设计理念已传遍全球。ESPRIT 代表着一个充满干劲、推崇合作、追求理想，以及对生命积极乐观的时尚生活品牌；ESPRIT为顾客塑造的，绝非仅仅是挂在身上的衣饰，更是一种生活方式，一对生活的态度，一种对自我的感觉。
1010011700030012	曼谷银	其他	珠宝工艺品		“曼谷银” （实为MGS曼古银，输入法及大家习惯原因，经常被打错字）是泰国金泰珠宝集团旗下全球连锁品牌，创始于1867年，2005年进入中国市场，由广州银曼古贸易有限公司运营管理，主要经营“MGS曼古银” 925纯银饰品、925纯银镶嵌饰品、990手工银饰品。 “MGS曼古银”目前在国内一二线城市高端商场设立专卖店300多家。
1010011700030013	Broadcast	服装	女装		
1010011700030014	navigare	服装	女装		navigare从1961年其母公司manifattura riese在意大利Reggio emilia省的Rio saliceto创立开始，至今已有46年的历史，在全球35个国家和地区，经营着近2000个品牌产品销售店铺。
1010011700030015	H&M	服装	女装	010-62740081	H&M于1947年由Erling Persson在瑞典创立。如今，H&M在全世界1500 多个专卖店销售服装、配饰与化妆品。位于瑞典市Stora Gatan大街的老H&M店是世界上第一家H&M专卖店。H&M品牌名是由“Hennes” （瑞典语中“她”的意思） 女装与“Mauritz”男装品牌合并，各取第一个字母而成“H&M”。
1010011700030016	JNBY	服装	女装		
1010011700030017	ONLY	服装	女装	010-82834733	ONLY是欧洲著名的国际时装公司丹麦BESTSELLER拥有的四个著名品牌之一。ONLY拥有许多设计师，他们遍布巴黎、米兰、伦敦和哥本哈根等主要时尚发源地，这使ONLY 永远站在欧洲流行的最前沿。ONLY1996年来到中国，BESTSELLER集团成立于1974年。
1010011700030018	五彩凤	其他	珠宝工艺品		
1010011700030019	字里行间	超市	超市	010-82834522	字里行间BELENCRE是一个为面向现代都市年轻人（18-40岁），贩售图书及相关文化生活百货用品，结合咖啡休闲与人文分享空间的经营，打造最具人文与生活之美，助益心灵提升的复合式文化休闲空间。当前在北京有八家分店，分别为慈云寺店、德胜门店、三元桥店、中央美院店、万寿路店、阿里巴巴店、五彩城店、金源燕莎店。
1010011700030020					
1010011700030021	GAP	服装	男装	010-82834688	GAP（盖璞）是美国最大的服装公司之一。1969年创建时，只有屈指可数的几名员工。而现在，它是拥有五个品牌（GAP、Banana Republic、Old Navy、Piperlime、Athleta )、3200多家连锁店、年营业额超过130亿美元、员工16.5万人的跨国公司。在说McFashion的时候，很难回避GAP。这个一度在全世界风靡一时的平价时装品牌，当年与很多明星联系在一起，比如莎朗·斯通穿着它去参加奥斯卡颁奖晚会；而另外一个让该品牌如此出名的竟然是莱温斯基、那件著名的蓝裙子，也是GAP的。
1010011700030022	oversea	其他	化妆品		
1010011700030023	香朝	其他	化妆品		
1010011700030024	eve ave				
1010011700030025	sheepet	儿童母婴	儿童用品		
1010011700030026	veromoda	其他	奢侈品	(010)82834109	VERO MODA是欧洲著名的时装公司丹麦BESTSELLER拥有的四个著名品牌之一。VERO MODA拥有许多设计师，他们遍布巴黎、米兰、伦敦、和哥本哈根等主要时尚发源地，这使VERO MODA永远站在欧洲流行的最前沿。国家：丹麦 Ringk?bi ng, Denmark创建年代：1987年创建人：Troels Holch Povlsen产品系列：女装、配饰维莎曼 (VERO MODA) 设计风格：经典中渗透最新的时尚感觉，简洁的款式突出优雅的女人味。VERO MODA是丹麦国际时装公司BESTSELLER集团旗下知名品牌之一。2001年VERO MODA进入中国市场，面向25-35岁女性的职业休闲装。
1010011700030027	诚和和田玉	其他	珠宝工艺品		
1010011700030028	银然花	其他	珠宝工艺品		
1010011700030029	沃尔玛	超市	超市	010-82816936	沃尔玛公司（Wal-Mart Stores, Inc.）（NYSE：WMT）是一家美国的世界性连锁企业，以营业额计算为全球最大的公司，其控股人为沃尔顿家族。总部位于美国阿肯色州的本顿维尔。沃尔玛主要涉足零售业，是世界上雇员最多的企业，连续三年在美国《财富》杂志世界500强企业中居首。沃尔玛公司有8500家门店，分布于全球15个国家。沃尔玛在美国50个州和波多黎各运营。沃尔玛主要有沃尔玛购物广场、山姆会员店、沃尔玛商店、沃尔玛社区店等四种营业态式。
1010011700030030	selected	服装	男装		思莱德（SELECTED）男装是为年龄20到45岁之间的时尚男士设计的商务休闲系列男装，这类男士追求品质和品味，是各个行业中的专业精英；同时他们决不刻板守旧，而是乐于接受新鲜事物，尝试时尚的服装，这样的男士善于将每季新款男装和个人收藏融合搭配，形成自己的个人风格。
1010011700030031	BASIC HOUSE	服装	女装		百家好，英文名：BASIC HOUSE，是目前韩国服装品牌中知名度和销量双第一的品牌，该品牌于1996年在韩国成立， 历史至今已有17年，它是韩国大型跨国服装企业百家好时装有限公司(The Basic House CO.,LTD)旗下品牌之一，百家好 (Basic House) 主攻生活休闲类服饰方向。
1010011700030032	满记甜品	餐饮	零食	010-60606567	香港满记甜品集团自一九九五年于香港西贡区设立第一间 『满记甜品』以后，由早期一间家庭式糖水店发展成现今的连锁式甜品店，深受本地顾客尤其香港年青新一代的爱戴，更获国内及外地旅客的推崇及赞赏。『满记甜品』已成为一个『甜品品牌』。其中，满记甜品以“之心甜品”和“芒果爱上椰”系列尤为突出。
1010011700030033	好比来	餐饮	正餐		
1010011700030034	锦瑟蓝				
1010011700030035	PACO PUBLIC	其他	化妆品		
1010011700030036	JACKJONES	服装	男装		Jack & Jones是针对年龄在18岁到30岁之间的喜欢穿着随意、流行和时尚的男士们设计的。Jack & Jones的设计迎合了国际大都市男士的生活品位，他们喜欢一种独特、轮廓鲜明而朴实的风格，同时采用高品质、时兴和新颖的面料制作的服装。
1010011700040000	骏朗眼镜	其他	化妆品	010-82816790	
1010011700040001	履行者	体育	体育用品		
1010011700040002	洪晟翔	餐饮	零食	010-82816085	
1010011700040003	汤臣倍健	餐饮	零食		汤臣倍健创立于1995年10月，2002年系统地将膳食营养补充剂引入中国非直销领域，并迅速成长为中国膳食营养补充剂领导品牌和标杆企业，也是中国保健行业第一家AAA信用等级企业。
1010011700040004	COTTON REPUBLIC	服装	女装		cotton REPUBLIC品牌的产品线以高品质棉质内衣、时尚家居内衣为主。
1010011700040005	谭木匠	其他	化妆品	4001100837	谭木匠是集梳理用品、饰品于一体的小木制品专业化集团公司，旗下包括重庆谭木匠工艺品有限公司、谭木匠发展有限公司、手工馆、美裕饰品、自强木业、江苏谭木匠旅游发展有限公司等子等公司。
1010011700040006	品尚味烟酒屋	餐饮	零食		
1010011700040007	茶大爷	餐饮	咖啡厅	15313963776	「茶大爷」美味茶饮起源于台湾、台中，由来自台湾的专业师傅赋予店铺以茶会友的精神
1010011700040008	亿莎	其他	化妆品	010-82816776	亿莎妆品连锁店（原美程化妆品），是国内最具规模的化妆品专营连锁企业集团之一。亿莎·美程化妆品连锁店主要经营包括欧莱雅、美宝莲、资生堂、真百代在内的1万余种护肤品、彩妆品、香水、个人护理产品。亿莎·美程秉承共同发展、效益双赢的原则，凭借先进的化妆品专业连锁经营业态和连锁网络强劲的销售能力与国内外众多知名厂商结为品牌联盟，共同构建产销直通渠道，实现规模效益。
1010011700040009	华润堂	其他	化妆品		华润堂是香港中成药连锁店，成立于1999年，是从昔日华润百货中成药部门分拆出来的。现时于香港及中国内地共有92家店。[1] 。
1010011700040010	麻辣诱惑食品	餐饮	正餐	010-82816729	麻辣诱惑集团由2002年创始于北京，旗下品牌包括麻辣诱惑品牌餐厅、麻辣诱惑食品和麻辣诱惑滚烫秀火锅三大高端品牌，是中国最具发展潜力、值得信赖的餐饮服务管理集团。现在北京已经有14家直营店，上海7家直营店，在2012年6月天津第二家直营餐饮店，大悦城店即将开业，同月将在南京开设一家直营店。...后续将会遍布全国。
1010011700040011	论道.竹叶青	餐饮	零食		竹叶青，名字来源 吸仙山之灵气，聚云雾之甘露，千百年来，峨眉山茶叶一直以其清醇淡雅的不凡意趣受到 竹叶青茶业 名人雅士的喜爱。1964年4月20日，时任外交部长的陈毅元帅来到峨眉山考察，在万年寺与老僧人品茗对弈时对所品之茶赞不绝口，问道：“这是何茶？”老僧人答道：“此茶乃峨眉山特产，尚无名称”，并请陈毅元帅赐名。陈毅元帅仔细审视杯中茶叶，只见汤清叶绿，一片生机，便由衷地说道：“这多像嫩竹叶啊，就叫竹叶青吧。”从此，竹叶青声名不胫而走，茶业界更因此增添了一段传奇佳话。
1010011700040012	嘟噜岛	儿童母婴	儿童用品		
1010011700040013	招财猫				
1010011700040014	阿芙香薰	其他	化妆品		
1010011700040015	魔易艺术·家	体育	体育用品	010-57123393	
1010011700040016	None	其他	化妆品		N-ONE视觉摄影 NONE： N中取一，代表优秀的意思 ，成都一家个性化摄影工作室，非常适合80后婚纱摄影风格~是成都婚纱摄影工作室
1010011700040017	cosadimoda	服装	女装		
1010011700040018	hopeshow	服装	女装		
1010011700040019	名媛印象	服装	女装		
1010011700040020	佩吉	服装	女装		
1010011700040021	ESPRIT	服装	女装		ESPRIT其“在乎心态而非年龄”的设计理念已传遍全球。ESPRIT 代表着一个充满干劲、推崇合作、追求理想，以及对生命积极乐观的时尚生活品牌；ESPRIT为顾客塑造的，绝非仅仅是挂在身上的衣饰，更是一种生活方式，一对生活的态度，一种对自我的感觉。
